id,label
3037,4905.3779847257965
1760,6522.833753017225
4212,8108.605858325535
1552,6412.496019862867
4020,4850.294466775855
3205,5418.679316281492
4444,9150.123392956648
3661,11161.583942853984
2581,6157.790433129597
3453,3991.693751904871
1304,12005.524772239596
4676,10641.430043807439
2924,9422.898090602841
2118,3755.6080528722755
4815,6358.830876936815
4029,4565.023712730467
3802,5368.979083866577
1769,6608.225853340649
2588,4059.659214462379
1903,6506.662937889321
3668,8079.203700252591
2127,10252.793824383461
2315,9215.079966747806
1590,4193.506970920276
5130,12555.61840653631
2771,5120.537877797071
4486,7073.935212225432
3491,2671.503234799866
2543,7836.648475555987
3657,11177.447201601937
2785,6024.819975712855
4472,9868.445885081928
1332,8816.079534987573
4640,9940.718928522318
3465,3269.343524645948
1756,6661.996167641096
4224,8430.786314235338
3001,6910.868336404091
3233,10620.000107929116
1564,2336.890812019957
4016,4695.312319980521
1904,9003.546021563132
4678,11287.618883456813
3805,5238.744653331794
3039,4197.293907044661
4812,6317.727933552928
2923,8166.712165331594
5108,7861.353437503895
2749,10901.062228994515
3234,6824.631145940774
1563,3251.149873156051
4011,1965.4242609282326
1751,4847.609499019187
4223,9223.830862986228
3006,5081.455805621201
1335,6673.37872835597
4647,7527.358782079732
3462,3408.9651075634456
3650,7285.989503401192
2782,7217.765098245588
4475,7577.192586821204
3496,4457.139235301184
2544,5764.821777052457
2776,7749.803133388347
4481,10165.528038441442
2312,6558.112849102178
1597,5886.694911825841
5137,11395.365739454526
2120,8864.889283715791
2180,3383.193248325517
3052,4977.812626273589
4277,11201.482721914768
1705,5589.690910800177
4045,3321.8602307594265
5197,5219.834068969676
4879,5957.868266530538
1537,4920.568171841148
3260,7625.755101446305
4421,6122.956644119052
3604,7161.091439955707
3436,3516.4637853761405
4613,4618.861290410111
1361,9053.433482120734
2722,7810.406310830048
2510,7107.470581129753
1395,6479.716239401043
2174,5588.339988962886
2948,8481.558249903681
4283,11301.639962054627
5163,6392.638338406386
2346,6318.038426232593
3294,6563.50133443873
3409,9923.48281489881
1950,7679.712945495656
4846,5579.05301326496
1508,9998.687499805066
4248,6765.326058475556
2983,8527.471399094893
3851,2394.6106402983683
2379,6391.503693216346
3099,6842.657786270147
2977,5631.7381654395085
5164,7049.268511173255
2341,4550.205616784376
3293,14601.352484667743
2173,6901.409867902579
4284,10852.782492639095
2517,6359.1309104855745
1392,8022.293125770385
2725,5212.860949433266
3431,3390.4845250899225
4614,6936.264902481965
1366,7154.163388606662
1968,6533.196095814896
4426,6543.4865534018145
3603,6197.115724020716
4042,3979.770830936422
5190,4017.2976384190138
1530,4658.260190782543
3267,5564.333604471312
2187,4396.516883230404
3055,813.0735585755085
3869,1374.7047468768687
4270,10052.864337031397
1702,5747.107909694247
2528,7200.874904585724
2970,9203.385957002954
4089,5058.509532786362
2984,5531.3785897440775
3856,3201.1777805156557
3258,10019.956717412462
4841,3958.7486105457706
1957,10021.97482217743
4419,7088.008669237796
1359,6137.5673589667995
2521,6245.555645524425
2713,7360.522332352981
2377,7479.654749494873
5152,4822.963533856796
4080,3588.5614712705305
3097,5420.688807970223
2145,10027.822683079406
2979,5770.199310581925
3251,9803.884440788
2383,6140.130452784731
4074,3241.6328071026064
1506,8230.289769483163
4848,4471.889595252934
4246,7308.508124496549
1734,5547.267461597799
3063,3342.4629597288413
4622,9816.562153961613
1350,8922.96063364129
3407,10040.649558447787
3635,7943.415789655364
4410,9688.52583901187
3894,1573.779994943263
2946,5765.1665880631745
4883,5371.66954342651
2348,4535.026661360592
1995,4402.084247348998
1961,11303.788922949556
3438,3258.423020064098
3860,-1.810819310064448e-14
4279,8805.321479102087
5199,6270.288519415311
1539,5632.785797994441
4877,6234.88881632883
3632,10533.155550409165
4417,9899.775975264005
1959,9018.191386624669
4625,5881.300839600604
1357,6754.184893650298
3400,10040.005805346369
4241,11121.379236259241
1733,8237.887198971994
3064,6917.080297778812
3858,3328.6071527318772
3256,3248.463829514018
2384,7731.210276613888
4073,9656.42787926999
1501,8417.713912301231
3090,9586.226984257444
2142,9428.455598252205
2370,8337.353314041804
5155,2092.7023214206397
4087,6220.142202105792
2714,6862.76290830737
2526,9548.022365154047
4870,7351.933736500313
3269,9093.396711095565
2189,6691.634398367907
3867,1020.3542664329
1368,8242.358003494954
4428,6060.686438010949
1966,9408.580781584777
2519,6071.506983103041
1992,8844.770810605272
4884,3447.4716273330246
3893,1538.6472755387892
2941,11260.406704580722
5018,8461.414312581786
2833,6044.984440900649
2659,8653.328505214231
4768,3008.670557312868
1814,5675.397674605399
4902,5326.055537071077
3915,1798.956765453599
3129,8909.993204829052
2666,8543.082642108948
4591,6272.5578936764705
2454,5089.962199554311
3586,8598.100205405764
5215,5919.543526366494
2030,10799.701459649292
2202,7805.651610627923
1487,8920.911686610923
5027,9489.706551293588
1641,4500.528578324042
4333,8695.200771564781
3116,8793.500194873692
3324,15463.960161549798
1473,4762.535364146877
4101,3881.569891849322
2692,7927.535500413067
3740,5404.933373049663
4565,7946.045260144847
1225,7241.2621368755945
4757,6603.191449994877
3572,8502.810982699973
3912,1756.6462486150308
1679,5323.654775761836
4905,5155.425916498928
4139,7708.087478952028
1813,7426.864544006539
3778,4281.956998424173
2498,6693.2458094971125
2834,5625.280090773846
2008,8699.471345562675
4750,7953.295325266973
3575,6192.10717000967
2695,6192.91388825361
3747,4176.488130285995
4562,10986.021832045839
3323,7553.31275372885
1474,6738.57221801336
4106,8907.734856291325
1646,3823.1022518589707
4334,7678.423117302084
3111,8241.150259375267
2205,9819.229081513537
1480,5992.70102539563
5020,4993.972888325397
5212,5188.689773825979
2037,8410.01807770946
2453,7506.488807728099
3581,8645.152223372263
2661,12055.037898346773
4596,9410.249368899586
1825,8169.695530416972
4759,5021.57056405288
3924,2246.1618733827004
